"日付け","終値","始値","高値","安値","出来高","前日比%"
"2019年03月26日","433,140","429,923","433,469","428,603","18.44K","0.75%"
"2019年03月25日","429,896","436,951","438,177","425,574","28.00K","-1.62%"
"2019年03月24日","436,987","438,401","438,446","434,255","13.77K","-0.33%"
"2019年03月23日","438,433","438,789","440,292","435,811","16.49K","-0.08%"
"2019年03月22日","438,789","440,823","441,467","437,724","18.85K","-0.44%"
"2019年03月21日","440,732","446,134","447,562","436,142","36.23K","-1.25%"
"2019年03月20日","446,295","445,350","447,391","442,837","30.79K","0.19%"
"2019年03月19日","445,468","442,169","446,867","439,338","33.78K","0.75%"
"2019年03月18日","442,169","441,783","447,085","438,394","37.33K","0.09%"
"2019年03月17日","441,783","444,369","445,375","438,916","27.16K","-0.59%"
"2019年03月16日","444,402","434,602","449,719","434,245","48.23K","2.26%"
"2019年03月15日","434,590","430,807","435,327","430,307","36.01K","0.84%"
"2019年03月14日","430,966","428,526","434,332","423,304","36.46K","0.57%"
"2019年03月13日","428,526","429,789","430,927","426,376","33.73K","-0.29%"
"2019年03月12日","429,787","428,595","431,261","422,980","37.77K","0.29%"
"2019年03月11日","428,556","433,253","434,326","425,675","49.58K","-1.08%"
"2019年03月10日","433,227","435,325","435,382","430,189","26.50K","-0.55%"
"2019年03月09日","435,608","427,359","438,166","426,610","48.30K","1.92%"
"2019年03月08日","427,390","430,135","434,371","422,712","40.77K","-0.65%"
"2019年03月07日","430,203","430,148","434,459","428,835","46.72K","0.01%"
"2019年03月06日","430,148","429,727","433,906","425,534","39.63K","0.10%"
"2019年03月05日","429,727","414,147","432,705","413,484","54.51K","3.76%"
"2019年03月04日","414,147","423,755","425,809","410,755","47.85K","-2.27%"
"2019年03月03日","423,751","426,192","427,115","422,504","33.48K","-0.53%"
"2019年03月02日","426,016","425,931","427,334","421,291","28.97K","-0.03%"
"2019年03月01日","426,127","423,233","430,140","423,086","31.32K","0.69%"
"2019年02月28日","423,189","421,518","430,728","419,410","55.26K","0.40%"
"2019年02月27日","421,518","419,991","423,601","407,333","42.02K","0.31%"
"2019年02月26日","420,214","423,616","424,421","416,618","40.10K","-0.81%"
"2019年02月25日","423,635","413,688","428,635","413,140","50.44K","2.49%"
"2019年02月24日","413,356","454,314","462,961","405,898","93.26K","-9.02%"
"2019年02月23日","454,317","436,466","458,778","432,481","54.51K","4.09%"
"2019年02月22日","436,466","432,218","437,247","430,939","40.94K","0.98%"
"2019年02月21日","432,218","436,751","440,147","428,651","40.52K","-1.04%"
"2019年02月20日","436,748","430,325","437,694","427,562","45.20K","1.49%"
"2019年02月19日","430,325","427,774","439,845","424,375","77.84K","0.60%"
"2019年02月18日","427,774","400,005","433,088","399,601","114.00K","6.98%"
"2019年02月17日","399,853","394,969","402,179","392,875","45.48K","1.24%"
"2019年02月16日","394,973","393,898","397,460","393,696","42.98K","0.27%"
"2019年02月15日","393,898","393,347","398,772","391,965","35.68K","0.12%"
"2019年02月14日","393,434","395,706","397,393","392,938","34.05K","-0.57%"
"2019年02月13日","395,704","395,216","398,885","393,779","36.36K","0.12%"
"2019年02月12日","395,224","395,457","398,220","391,107","36.83K","-0.10%"
"2019年02月11日","395,611","399,443","399,803","393,719","33.06K","-0.94%"
"2019年02月10日","399,357","396,872","399,648","391,310","25.67K","0.61%"
"2019年02月09日","396,919","397,626","398,367","393,486","32.15K","-0.11%"
"2019年02月08日","397,341","368,843","405,586","367,441","66.38K","7.73%"
"2019年02月07日","368,839","369,950","370,886","368,013","27.12K","-0.30%"
